,Potential_Customer,C_ID,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Pur_3_years_Total,Pur_5_years_Total,Ad_Res_1_Year_Total,Ad_Res_3_Year_Total,Ad_Res_5_Year_Total
0,1,9946.0,2.0,17.0,2.0,4.0,0.0,7.5,7.76,7.5,14.0,110.0,32.0,48.0,73.0,3.0,12.0,16.0,A,0,71.0,F,H,65957.0,4.0,21.0,35.0,60.0,89.0
1,1,87939.0,1.0,7.0,0.0,3.0,25.0,25.0,13.0,11.67,18.0,75.0,13.0,35.0,55.0,6.0,6.0,22.0,A,1,59.01903261470372,M,U,44284.5,1.0,10.0,19.0,41.0,77.0
2,0,88003.0,5.0,12.0,3.0,5.0,15.0,15.0,11.25,14.67,19.0,57.0,14.0,35.0,53.0,6.0,17.0,22.0,S,1,79.0,F,U,44284.5,8.0,17.0,20.0,52.0,75.0
3,1,188721.0,1.0,11.0,0.0,3.0,20.0,20.0,12.45,11.67,5.0,113.0,17.0,38.0,71.0,8.0,8.0,33.0,A,0,73.0,F,U,76293.0,1.0,14.0,25.0,46.0,104.0
4,1,88056.0,3.0,15.0,2.0,7.0,3.0,4.33,3.8,4.0,17.0,118.0,13.0,28.0,63.0,6.0,12.0,24.0,S,1,68.0,F,H,113663.0,5.0,22.0,19.0,40.0,87.0
5,1,88119.0,4.0,15.0,4.0,12.0,10.0,7.75,7.0,7.75,16.0,120.0,14.0,34.0,72.0,6.0,16.0,33.0,A,1,67.0,F,H,62230.0,8.0,27.0,20.0,50.0,105.0
6,0,88113.0,3.0,12.0,3.0,8.0,18.0,18.0,14.58,18.0,24.0,111.0,11.0,32.0,63.0,6.0,17.0,27.0,A,1,78.0,M,H,62230.0,6.0,20.0,17.0,49.0,90.0
7,0,88092.0,1.0,3.0,1.0,3.0,20.0,20.0,18.33,20.0,20.0,58.0,10.0,23.0,36.0,4.0,10.0,14.0,A,0,48.0,M,H,62230.0,2.0,6.0,14.0,33.0,50.0
8,1,88153.0,4.0,16.0,3.0,9.0,5.0,7.75,8.06,7.0,24.0,122.0,6.0,26.0,60.0,3.0,14.0,27.0,S,1,49.0,F,H,56828.0,7.0,25.0,9.0,40.0,87.0
9,0,88151.0,4.0,14.0,4.0,14.0,16.0,14.5,11.57,14.5,16.0,104.0,14.0,34.0,72.0,6.0,16.0,30.0,S,1,63.0,M,H,56828.0,8.0,28.0,20.0,50.0,102.0
10,0,88137.0,3.0,5.0,0.0,1.0,15.0,12.67,10.6,11.67,19.0,40.0,11.0,30.0,32.0,6.0,6.0,13.0,S,1,73.0,M,H,56828.0,3.0,6.0,17.0,36.0,45.0
11,0,88136.0,8.0,11.0,4.0,5.0,12.0,10.5,9.45,10.5,17.0,41.0,13.0,34.0,38.0,6.0,17.0,16.0,S,1,71.0,F,H,56828.0,12.0,16.0,19.0,51.0,54.0
12,0,88115.0,4.0,27.0,3.0,13.0,5.0,4.5,3.78,4.33,16.0,123.0,12.0,32.0,74.0,5.0,15.0,29.0,S,1,37.0,F,H,56828.0,7.0,40.0,17.0,47.0,103.0
